iteration,expected_improvement,predicted_metric,predicted_std,actual_metric,is_new_best,error,parameters,P1_RMSE,P1_R2,Pz12_RMSE,Pz12_R2,Overall_RMSE,Overall_R2
0,0.026675730209525093,0.6078227024080775,0.27411423739715995,0.6774732356861031,False,,"{'sy_clean_gravel': 0.334, 'sy_clayey_sand': 0.224, 'sy_loamy_sand': 0.15, 'sy_sandy_gravel': 0.125, 'sy_sandstone': 0.001, 'sy_limestone': 0.001, 'ss_clean_gravel': 8.31763771102671e-06, 'ss_clayey_sand': 6.760829753919819e-06, 'ss_loamy_sand': 1.4125375446227555e-05, 'ss_sandy_gravel': 9.549925860214369e-06, 'ss_sandstone': 1.5135612484362071e-05, 'ss_limestone': 7.244359600749906e-06}",0.15080767532493572,0.838216591654326,0.1026798187933378,0.5167298797178801,0.12674374705913677,0.6774732356861031
1,0.02644658805864801,0.6078227024080775,0.27255390674322305,0.7309076284515098,False,,"{'sy_clean_gravel': 0.251, 'sy_clayey_sand': 0.192, 'sy_loamy_sand': 0.295, 'sy_sandy_gravel': 0.172, 'sy_sandstone': 0.001, 'sy_limestone': 0.001, 'ss_clean_gravel': 6.165950018614822e-06, 'ss_clayey_sand': 7.76247116628691e-06, 'ss_loamy_sand': 3.981071705534969e-06, 'ss_sandy_gravel': 1.0232929922807536e-05, 'ss_sandstone': 3.8904514499428046e-05, 'ss_limestone': 4.466835921509635e-06}",0.1905136377785518,0.7418101118938005,0.07815650798259399,0.7200051450092191,0.1343350728805729,0.7309076284515098
2,0.026286585847161467,0.6078227024080775,0.2712574675467828,0.7110927478117377,False,,"{'sy_clean_gravel': 0.222, 'sy_clayey_sand': 0.19, 'sy_loamy_sand': 0.152, 'sy_sandy_gravel': 0.293, 'sy_sandstone': 0.001, 'sy_limestone': 0.001, 'ss_clean_gravel': 4.897788193684467e-06, 'ss_clayey_sand': 1.122018454301963e-05, 'ss_loamy_sand': 2.39883291901949e-05, 'ss_sandy_gravel': 5.888436553555884e-06, 'ss_sandstone': 6.309573444801929e-05, 'ss_limestone': 2.3442288153199226e-06}",0.2655032795094396,0.49855088460147157,0.040816748506388396,0.9236346110220037,0.15316001400791399,0.7110927478117377
3,0.026109379403803,0.6078227024080775,0.26989503319493047,0.68805978633993,False,,"{'sy_clean_gravel': 0.311, 'sy_clayey_sand': 0.249, 'sy_loamy_sand': 0.258, 'sy_sandy_gravel': 0.12, 'sy_sandstone': 0.001, 'sy_limestone': 0.001, 'ss_clean_gravel': 2.1379620895022323e-05, 'ss_clayey_sand': 1.778279410038923e-05, 'ss_loamy_sand': 4.365158322401657e-06, 'ss_sandy_gravel': 2.1379620895022323e-05, 'ss_sandstone': 7.413102413009176e-05, 'ss_limestone': 1.584893192461114e-06}",0.1460370702046011,0.8482903128176406,0.10149383358942027,0.5278292598622195,0.12376545189701069,0.68805978633993
4,0.025916545527894297,0.6078227024080775,0.2684724726283386,0.7368283584620987,False,,"{'sy_clean_gravel': 0.332, 'sy_clayey_sand': 0.241, 'sy_loamy_sand': 0.199, 'sy_sandy_gravel': 0.168, 'sy_sandstone': 0.001, 'sy_limestone': 0.001, 'ss_clean_gravel': 1.3489628825916533e-05, 'ss_clayey_sand': 1.62181009735893e-05, 'ss_loamy_sand': 1.6595869074375598e-05, 'ss_sandy_gravel': 2.39883291901949e-05, 'ss_sandstone': 2.8840315031266056e-05, 'ss_limestone': 1.2589254117941661e-06}",0.1872147494235993,0.7506742054659983,0.07773985302362374,0.7229825114581991,0.1324773012236115,0.7368283584620987
5,0.025788710722746112,0.6078227024080775,0.2672988320786127,0.7373264254029788,False,,"{'sy_clean_gravel': 0.305, 'sy_clayey_sand': 0.221, 'sy_loamy_sand': 0.271, 'sy_sandy_gravel': 0.163, 'sy_sandstone': 0.001, 'sy_limestone': 0.001, 'ss_clean_gravel': 4.265795188015926e-06, 'ss_clayey_sand': 1.62181009735893e-05, 'ss_loamy_sand': 1.7378008287493764e-05, 'ss_sandy_gravel': 6.606934480075964e-06, 'ss_sandstone': 9.549925860214369e-05, 'ss_limestone': 2.5703957827688647e-06}",0.183228150996103,0.7611795634649171,0.07906288905795196,0.7134732873410404,0.13114552002702748,0.7373264254029788
6,0.025668284325009512,0.6078227024080775,0.2661535742155853,0.6717759617372794,False,,"{'sy_clean_gravel': 0.288, 'sy_clayey_sand': 0.156, 'sy_loamy_sand': 0.281, 'sy_sandy_gravel': 0.349, 'sy_sandstone': 0.001, 'sy_limestone': 0.001, 'ss_clean_gravel': 1.4125375446227555e-05, 'ss_clayey_sand': 1.6595869074375598e-05, 'ss_loamy_sand': 7.413102413009177e-06, 'ss_sandy_gravel': 2.691534803926914e-05, 'ss_sandstone': 8.709635899560814e-05, 'ss_limestone': 3.235936569296281e-06}",0.2914520687657982,0.3957434392902598,0.033743496068012135,0.9478084841842991,0.16259778241690517,0.6717759617372794
7,0.025485828849709666,0.6078227024080775,0.2647703256378462,0.7007720823552672,False,,"{'sy_clean_gravel': 0.228, 'sy_clayey_sand': 0.191, 'sy_loamy_sand': 0.165, 'sy_sandy_gravel': 0.311, 'sy_sandstone': 0.001, 'sy_limestone': 0.001, 'ss_clean_gravel': 2.39883291901949e-05, 'ss_clayey_sand': 5.754399373371567e-06, 'ss_loamy_sand': 9.120108393559096e-06, 'ss_sandy_gravel': 2.39883291901949e-05, 'ss_sandstone': 3.3884415613920276e-05, 'ss_limestone': 3.0199517204020193e-06}",0.27438543457562026,0.4644386877141624,0.03704217978639405,0.9371054769963721,0.15571380718100716,0.7007720823552672
8,0.02533532477210198,0.6078227024080775,0.2635095128532348,0.6190199123882196,False,,"{'sy_clean_gravel': 0.317, 'sy_clayey_sand': 0.235, 'sy_loamy_sand': 0.245, 'sy_sandy_gravel': 0.102, 'sy_sandstone': 0.001, 'sy_limestone': 0.001, 'ss_clean_gravel': 1.778279410038923e-05, 'ss_clayey_sand': 1.9952623149688786e-05, 'ss_loamy_sand': 2.4547089156850286e-05, 'ss_sandy_gravel': 2.951209226666384e-05, 'ss_sandstone': 1.445439770745928e-05, 'ss_limestone': 2.5118864315095823e-06}",0.13011843473757959,0.8795616629600342,0.11830302341835112,0.358478161816405,0.12421072907796535,0.6190199123882196
9,0.02514659902817347,0.6078227024080775,0.2621016963627218,0.726488314450077,False,,"{'sy_clean_gravel': 0.315, 'sy_clayey_sand': 0.118, 'sy_loamy_sand': 0.188, 'sy_sandy_gravel': 0.185, 'sy_sandstone': 0.001, 'sy_limestone': 0.001, 'ss_clean_gravel': 3.7153522909717276e-06, 'ss_clayey_sand': 1.122018454301963e-05, 'ss_loamy_sand': 6.9183097091893625e-06, 'ss_sandy_gravel': 1.0232929922807536e-05, 'ss_sandstone': 7.585775750291836e-05, 'ss_limestone': 2.884031503126606e-06}",0.20066611536264842,0.7135590031176602,0.07539848850442042,0.7394176257824938,0.1380323019335344,0.726488314450077
10,0.025038329093185492,0.6078227024080775,0.26100300354261147,0.6949248053412196,False,,"{'sy_clean_gravel': 0.269, 'sy_clayey_sand': 0.229, 'sy_loamy_sand': 0.192, 'sy_sandy_gravel': 0.323, 'sy_sandstone': 0.001, 'sy_limestone': 0.001, 'ss_clean_gravel': 6.456542290346549e-06, 'ss_clayey_sand': 1.071519305237607e-05, 'ss_loamy_sand': 1.2589254117941661e-05, 'ss_sandy_gravel': 2.187761623949552e-05, 'ss_sandstone': 1.4125375446227555e-05, 'ss_limestone': 1.5488166189124828e-06}",0.2799977941709901,0.4423055664924621,0.0338288725468741,0.9475440441899771,0.1569133333589321,0.6949248053412196
11,0.02490203465832269,0.6078227024080775,0.2597965433133281,0.7229031610756281,False,,"{'sy_clean_gravel': 0.33, 'sy_clayey_sand': 0.165, 'sy_loamy_sand': 0.224, 'sy_sandy_gravel': 0.17, 'sy_sandstone': 0.001, 'sy_limestone': 0.001, 'ss_clean_gravel': 1.122018454301963e-05, 'ss_clayey_sand': 1.8197008586099827e-05, 'ss_loamy_sand': 1.698243652461746e-05, 'ss_sandy_gravel': 6.606934480075964e-06, 'ss_sandstone': 1.9054607179632484e-05, 'ss_limestone': 2.6302679918953817e-06}",0.18906372467323398,0.745725090280503,0.08088946131158188,0.7000812318707532,0.13497659299240794,0.7229031610756281
12,0.02480094807104337,0.6078227024080775,0.25872547052313977,0.7265781715105462,False,,"{'sy_clean_gravel': 0.335, 'sy_clayey_sand': 0.239, 'sy_loamy_sand': 0.217, 'sy_sandy_gravel': 0.271, 'sy_sandstone': 0.001, 'sy_limestone': 0.001, 'ss_clean_gravel': 8.128305161640995e-06, 'ss_clayey_sand': 8.31763771102671e-06, 'ss_loamy_sand': 1.584893192461114e-05, 'ss_sandy_gravel': 2.290867652767775e-05, 'ss_sandstone': 2.818382931264455e-05, 'ss_limestone': 3.3113112148259077e-06}",0.25422357753257535,0.5402531717802588,0.04359044399674368,0.9129031712408335,0.1489070107646595,0.7265781715105462
13,0.024709526781928698,0.6078227024080775,0.2576915666341193,0.7140794018694296,False,,"{'sy_clean_gravel': 0.33, 'sy_clayey_sand': 0.217, 'sy_loamy_sand': 0.193, 'sy_sandy_gravel': 0.292, 'sy_sandstone': 0.001, 'sy_limestone': 0.001, 'ss_clean_gravel': 1.3803842646028839e-05, 'ss_clayey_sand': 5.623413251903491e-06, 'ss_loamy_sand': 1.5135612484362071e-05, 'ss_sandy_gravel': 5.011872336272725e-06, 'ss_sandstone': 1.62181009735893e-05, 'ss_limestone': 2.6915348039269138e-06}",0.26497934895474506,0.5005279998380661,0.039734430754868905,0.9276308039007931,0.152356889854807,0.7140794018694296
14,0.024608969586753217,0.6078227024080775,0.2566225276614465,0.6791635533214826,False,,"{'sy_clean_gravel': 0.282, 'sy_clayey_sand': 0.151, 'sy_loamy_sand': 0.18, 'sy_sandy_gravel': 0.341, 'sy_sandstone': 0.001, 'sy_limestone': 0.001, 'ss_clean_gravel': 2.6302679918953814e-05, 'ss_clayey_sand': 8.91250938133746e-06, 'ss_loamy_sand': 4.78630092322638e-06, 'ss_sandy_gravel': 3.235936569296281e-06, 'ss_sandstone': 3.5481338923357534e-05, 'ss_limestone': 6.606934480075964e-06}",0.28780541047232916,0.41076979999744256,0.0338245957943749,0.9475573066455225,0.16081500313335204,0.6791635533214826
15,0.024482495092553715,0.6078227024080775,0.25545381718744437,0.7236291749040775,False,,"{'sy_clean_gravel': 0.204, 'sy_clayey_sand': 0.136, 'sy_loamy_sand': 0.239, 'sy_sandy_gravel': 0.175, 'sy_sandstone': 0.001, 'sy_limestone': 0.001, 'ss_clean_gravel': 3.981071705534969e-06, 'ss_clayey_sand': 6.165950018614822e-06, 'ss_loamy_sand': 2.1379620895022323e-05, 'ss_sandy_gravel': 1e-05, 'ss_sandstone': 7.244359600749906e-05, 'ss_limestone': 8.128305161640995e-06}",0.19326492145326837,0.734299018379146,0.0791337666265118,0.7129593314290089,0.1361993440398901,0.7236291749040775
16,0.024402778431931012,0.6078227024080775,0.2544649278068963,0.6914062406130741,False,,"{'sy_clean_gravel': 0.25, 'sy_clayey_sand': 0.209, 'sy_loamy_sand': 0.152, 'sy_sandy_gravel': 0.327, 'sy_sandstone': 0.001, 'sy_limestone': 0.001, 'ss_clean_gravel': 1.2589254117941661e-05, 'ss_clayey_sand': 9.332543007969906e-06, 'ss_loamy_sand': 1.3182567385564074e-05, 'ss_sandy_gravel': 2.238721138568338e-05, 'ss_sandstone': 1.3803842646028839e-05, 'ss_limestone': 4.897788193684467e-06}",0.28179959942676436,0.43510486745891364,0.033776088314712925,0.9477076137672347,0.15778784387073863,0.6914062406130741
17,0.02429601926846551,0.6078227024080775,0.2533720404434618,0.7041195587062015,False,,"{'sy_clean_gravel': 0.254, 'sy_clayey_sand': 0.238, 'sy_loamy_sand': 0.3, 'sy_sandy_gravel': 0.135, 'sy_sandstone': 0.001, 'sy_limestone': 0.001, 'ss_clean_gravel': 1.2589254117941661e-05, 'ss_clayey_sand': 6.9183097091893625e-06, 'ss_loamy_sand': 7.244359600749906e-06, 'ss_sandy_gravel': 3.3113112148259077e-06, 'ss_sandstone': 4.5708818961487516e-05, 'ss_limestone': 7.079457843841373e-06}",0.15952657208595686,0.8189689142796829,0.0946603763065964,0.5892702031327199,0.12709347419627665,0.7041195587062015
18,0.024205336093750508,0.6078227024080775,0.25234096632353964,0.7287664856130917,False,,"{'sy_clean_gravel': 0.224, 'sy_clayey_sand': 0.118, 'sy_loamy_sand': 0.175, 'sy_sandy_gravel': 0.227, 'sy_sandstone': 0.001, 'sy_limestone': 0.001, 'ss_clean_gravel': 7.413102413009177e-06, 'ss_clayey_sand': 7.943282347242822e-06, 'ss_loamy_sand': 2.290867652767775e-05, 'ss_sandy_gravel': 1.0232929922807536e-05, 'ss_sandstone': 2.1379620895022323e-05, 'ss_limestone': 1e-06}",0.2287182957970854,0.6278749529711705,0.060960843717687355,0.8296580182550128,0.14483956975738638,0.7287664856130917
19,0.024145252695392173,0.6078227024080775,0.2514274868868903,0.6885272575814883,False,,"{'sy_clean_gravel': 0.343, 'sy_clayey_sand': 0.228, 'sy_loamy_sand': 0.278, 'sy_sandy_gravel': 0.332, 'sy_sandstone': 0.001, 'sy_limestone': 0.001, 'ss_clean_gravel': 6.025595860743581e-06, 'ss_clayey_sand': 1.0964781961431852e-05, 'ss_loamy_sand': 1.584893192461114e-05, 'ss_sandy_gravel': 5.888436553555884e-06, 'ss_sandstone': 3.0199517204020192e-05, 'ss_limestone': 9.772372209558111e-06}",0.28398050973005295,0.42632733247414734,0.03278640648122763,0.9507271826888293,0.1583834581056403,0.6885272575814883
20,0.024050178172577902,0.6078227024080775,0.25037950405564646,0.6845255501127827,False,,"{'sy_clean_gravel': 0.207, 'sy_clayey_sand': 0.194, 'sy_loamy_sand': 0.152, 'sy_sandy_gravel': 0.336, 'sy_sandstone': 0.001, 'sy_limestone': 0.001, 'ss_clean_gravel': 1.0964781961431852e-05, 'ss_clayey_sand': 6.165950018614822e-06, 'ss_loamy_sand': 1.6595869074375598e-05, 'ss_sandy_gravel': 4.265795188015926e-06, 'ss_sandstone': 2.5118864315095822e-05, 'ss_limestone': 6.165950018614822e-06}",0.2856926261593126,0.4193891435014493,0.03313891509171931,0.9496619567241161,0.15941577062551596,0.6845255501127827
21,0.02395664294805243,0.6078227024080775,0.24933743059459812,0.6890532053111131,False,,"{'sy_clean_gravel': 0.248, 'sy_clayey_sand': 0.185, 'sy_loamy_sand': 0.159, 'sy_sandy_gravel': 0.131, 'sy_sandstone': 0.001, 'sy_limestone': 0.001, 'ss_clean_gravel': 3.548133892335753e-06, 'ss_clayey_sand': 6.606934480075964e-06, 'ss_loamy_sand': 4.78630092322638e-06, 'ss_sandy_gravel': 1.122018454301963e-05, 'ss_sandstone': 7.413102413009176e-05, 'ss_limestone': 1.4125375446227554e-06}",0.15694584598331093,0.8247787636081534,0.09871534271439851,0.5533276470140728,0.12783059434885471,0.6890532053111131
